temperature,ph,salinity,oxygen,quality
28.5,8.1,34.2,6.4,Excellent
29.1,8.0,34.5,6.2,Excellent
27.8,8.2,33.9,6.5,Excellent
26.5,8.1,34.0,6.1,Excellent
25.8,8.0,35.0,5.9,Good
30.2,7.8,35.5,5.2,Good
31.5,7.6,36.0,4.9,Moderate
32.8,7.5,36.8,4.5,Moderate
33.5,7.4,37.2,4.1,Poor
34.8,7.2,38.0,3.8,Poor
35.2,7.1,38.5,3.5,Poor
24.5,8.3,33.5,6.8,Excellent
25.0,8.2,34.1,6.7,Excellent
26.2,8.1,34.3,6.4,Excellent
27.1,8.0,34.7,6.1,Good
28.8,7.9,35.1,5.8,Good
29.9,7.8,35.8,5.5,Good
31.0,7.7,36.2,5.0,Moderate
32.0,7.5,36.9,4.6,Moderate
33.0,7.3,37.5,4.0,Poor
34.0,7.2,38.2,3.6,Poor
35.0,7.0,39.0,3.2,Poor
26.8,8.2,34.0,6.3,Excellent
27.5,8.1,34.4,6.2,Excellent
28.0,8.0,34.8,6.0,Good
29.5,7.9,35.3,5.6,Good
30.8,7.7,35.9,5.1,Moderate
31.8,7.6,36.5,4.8,Moderate
32.5,7.4,37.0,4.3,Poor
33.8,7.3,37.8,3.9,Poor
